MANUFACTURER,MODEL,TYPE,WORKING LOAD LIMIT,WEIGHT,SAFETY FACTOR,DIAMETER,LENGTH INSIDE,WIDTH INSIDE,ASSEMBLY DIAMETER,ASSEMBLY LENGTH INSIDE,ASSEMBLY WIDTH INSIDE
Crosby,A-345,Assembly,5.6,1.8,5,19,152,82,13,120,60
Crosby,A-345,Assembly,6.9,3.2,5,22,162,95,17,170,80
Crosby,A-345,Assembly,11.8,5.8,5,28,191,109,22,160,95
Crosby,A-345,Assembly,17.7,12.1,5,34,241,140,28,240,130
Crosby,A-345,Assembly,27.7,18.3,5,41,267,150,32,270,130
Crosby,A-345,Assembly,38.5,23.5,5,44,305,152,36,270,125
Crosby,A-345,Assembly,46.5,33.5,5,51,356,178,40,270,140
Crosby,A-345,Assembly,72.6,62.2,5,64,406,213,50,308,190
Crosby,A-345,Assembly,98.4,84.5,5,70,457,251,55,355,200
Crosby,A-345,Assembly,106.5,116,5,83,508,254,63,286,203
Crosby,A-345,Assembly,169,303,5,102,610,306,89,610,305
Green Pin,P-6820,Assembly,4.1,1.62,5,16,150,75,14.5,125,60
Green Pin,P-6820,Assembly,7,5.22,5,22,270,140,22,162,90
Green Pin,P-6820,Assembly,9.3,6.05,5,26,270,140,22,162,90
Green Pin,P-6820,Assembly,14.5,6.73,5,28,270,140,22,162,90
Green Pin,P-6820,Assembly,19,10.9,5,32,270,140,28,200,110
Green Pin,P-6820,Assembly,26,12.4,5,36,270,140,28,200,110
Green Pin,P-6820,Assembly,30.5,18.5,5,40,280,155,32,270,140
Green Pin,P-6820,Assembly,40,25.1,5,45,320,175,36,270,140
Green Pin,P-6820,Assembly,51,40.9,5,50,350,195,45,320,175
Green Pin,P-6820,Assembly,75,66.1,5,65,410,220,50,350,195
Green Pin,P-6820,Assembly,100,115,5,75,450,250,65,410,220
GN Rope Fittings,SC5,Assembly,70,117,5,68,460,220,68,430,300
GN Rope Fittings,SC6,Assembly,100,178,5,80,500,250,80,460,330
GN Rope Fittings,SC7,Assembly,125,249,5,90,560,270,90,500,330
GN Rope Fittings,SC8,Assembly,175,330,5,100,600,270,100,560,330
GN Rope Fittings,SC9,Assembly,250,505,5,115,600,400,115,600,400
GN Rope Fittings,SC10,Assembly,300,492,5,115,600,300,115,600,400
GN Rope Fittings,SC11,Assembly,350,480,4,115,600,270,115,600,400
GN Rope Fittings,SC12,Assembly,400,460,4,115,600,270,115,600,300
