MANUFACTURER,MODEL,WORKING LOAD LIMIT,WEIGHT,SAFETY FACTOR,INSIDE WIDTH,INSIDE LENGTH,BOW WIDTH,LENGTH,WIDTH,BOW DIAMETER,EYE DIAMETER,PIN DIAMETER,BOLT LENGTH,TOLERANCE INSIDE WIDTH,TOLERANCE INSIDE LENGTH
Crosby,G-2130,0.33,0.03,6,9.7,22.4,15.2,37.3,24.9,4.9,14.2,6.4,32.8,1.5,1.5
Crosby,G-2130,0.5,0.05,6,11.9,28.7,19.8,46.7,32.5,6.4,15.5,7.9,39.6,1.5,1.5
Crosby,G-2130,0.75,0.1,6,13.5,31,21.3,53,37.3,7.9,19.1,9.7,46.2,1.5,1.5
Crosby,G-2130,1,0.15,6,16.8,36.6,26.2,63,45.2,9.7,23.1,11.2,55.1,1.5,1.5
Crosby,G-2130,1.5,0.22,6,19.1,42.9,29.5,74,51.5,11.2,26.9,12.7,63.8,1.5,1.5
Crosby,G-2130,2,0.36,6,20.6,47.8,33.3,83.5,58.5,12.7,30.2,16,71.1,1.5,1.5
Crosby,G-2130,3.25,0.62,6,26.9,60.5,42.9,106,74.5,16,38.1,19.1,90.4,1.5,1.5
Crosby,G-2130,4.75,1.23,6,31.8,71.5,51,126,89,19.1,46,22.4,105,1.5,1.5
Crosby,G-2130,6.5,1.79,6,36.6,84,58,148,102,22.4,53,25.4,122,1.5,1.5
Crosby,G-2130,8.5,2.28,6,42.9,95.5,68.5,167,119,25.4,60.5,28.7,137,1.5,1.5
Crosby,G-2130,9.5,3.75,6,46,108,74,190,131,28.7,68.5,31.8,150,1.5,1.5
Crosby,G-2130,12,5.31,6,51.5,119,82.5,210,146,31.8,76,35.1,170,1.5,1.5
Crosby,G-2130,13.5,7.18,6,57,133,92,233,162,35.1,84,38.1,183,1.5,1.5
Crosby,G-2130,17,8.62,6,60.5,146,98.5,254,175,38.1,92,41.4,196,1.5,1.5
Crosby,G-2130,25,15.4,6,73,178,127,313,225,44.5,106,51,246,1.5,1.5
Crosby,G-2130,35,23.7,6,82.5,197,146,348,253,51,122,57,275,1.5,1.5
Crosby,G-2130,55,44.6,6,105,267,184,453,327,66.5,145,70,345,1.5,1.5
Crosby,G-2130,85,70,6,127,330,200,546,365,76,165,82.5,384,1.5,1.5
Crosby,G-2130,120,120,6,133,372,229,626,419,92,203,95.5,432,1.5,1.5
Crosby,G-2130,150,153,6,140,368,254,653,468,104,229,108,451,1.5,1.5
Green Pin,G-4163,0.5,0.06,6,12,29,20,48,34,7,16,8,42,1.5,1.5
Green Pin,G-4163,0.75,0.11,6,13.5,32,22,56,40,9,20,10,50,1.5,1.5
Green Pin,G-4163,1,0.15,6,17,37,26,64,46,10,23,11,60,1.5,1.5
Green Pin,G-4163,1.5,0.22,6,19,43,29,73,51,11,25,13,67,1.5,1.5
Green Pin,G-4163,2,0.42,6,22,51,32,90,59,13.5,34,16,80,1.5,1.5
Green Pin,G-4163,3.25,0.74,6,27,64,43,110,75,16,40,19,98,1.5,1.5
Green Pin,G-4163,4.75,1.18,6,31,76,51,129,89,19,46,22,115,1.5,1.5
Green Pin,G-4163,6.5,1.77,6,36,83,58,144,102,22,52,25,130,1.5,1.5
Green Pin,G-4163,8.5,2.58,6,43,95,68,164,118,25,59,28,150,1.5,1.5
Green Pin,G-4163,9.5,3.66,6,47,108,75,186,131,28,67,32,166,1.5,1.5
Green Pin,G-4163,12,4.91,6,51,115,83,201,147,32,73,35,184,1.5,1.5
Green Pin,G-4163,13.5,6.54,6,57,133,92,227,162,35,79,38,197,1.5,1.5
Green Pin,G-4163,17,8.19,6,60,146,99,249,175,38,88,42,202,1.5,1.5
Green Pin,G-4163,25,14,6,74,178,126,300,216,45,104,52,243,1.5,1.5
Green Pin,G-4163,35,18.8,6,83,197,38,332,238,50,112,57,269,1.5,1.5
Green Pin,G-4163,42.5,28.3,6,95,222,160,378,274,57,132,65,301,1.5,1.5
Green Pin,G-4163,55,39.6,6,105,260,180,433,310,65,145,70,329,1.5,1.5
Green Pin,G-4163,85,62,6,127,330,190,530,340,75,167,83,381,1.5,1.5
Crosby,G-2140,2,0.15,4.5,17,37,26,64,45,10,23,11,55,1.5,3.3
Crosby,G-2140,2.67,0.22,4.5,19,43,30,74,52,11,27,13,64,1.5,3.3
Crosby,G-2140,3.5,0.36,4.5,21,48,33,83,59,13,30,16,71,1.5,3.3
Crosby,G-2140,5,0.76,4.5,27,61,43,106,74,16,38,20,90,1.5,3.3
Crosby,G-2140,7,1.23,4.5,32,71,51,126,89,19,46,23,105,1.5,3.3
Crosby,G-2140,9.5,1.79,4.5,37,84,58,148,103,22,53,26,122,1.5,3.3
Crosby,G-2140,12.5,2.57,4.5,43,96,68,167,119,25,61,29,137,1.5,3.3
Crosby,G-2140,15,3.75,4.5,46,108,74,190,131,30,68,32,150,1.5,3.3
Crosby,G-2140,18,5.31,4.5,52,119,83,210,146,33,76,36,170,1.5,3.3
Crosby,G-2140,21,717,4.5,57,133,92,233,162,36,84,39,183,1.5,3.3
Crosby,G-2140,30,8.53,5.4,61,146,99,254,176,39,92,42,196,1.5,3.3
Crosby,G-2140,40,15.3,5.4,73,178,127,313,224,47,106,52,245,1.5,3.3
Crosby,G-2140,55,22.6,5.4,83,197,146,348,258,53,122,59,274,1.5,3.3
Crosby,G-2140,85,46.7,5.4,105,267,184,455,324,69,148,71,344,1.5,3.3
Crosby,G-2140,120,73.5,5.4,127,330,200,546,371,79,165,84,384,1.5,3.3
Crosby,G-2140,150,122,5.4,133,372,229,632,432,92,203,96,432,1.5,3.3
Crosby,G-2140,175,144,5.4,140,368,254,652,457,102,229,108,457,1.5,3.3
Crosby,G-2140,200,209,4,184,386,279,712,516,121,267,121,611,1.5,3.3
Crosby,G-2140,250,276,4,216,470,330,829,600,127,305,127,632,1.5,3.3
Crosby,G-2140,300,362,4,213,475,330,871,629,149,330,153,666,1.5,3.3
Crosby,G-2140,400,585,4,210,572,330,1022,660,152,356,178,753,1.5,3.3
Green Pin,G-5263,3.3,0.4,5,22,51,32,90,59,"13,5",34,16,80,1.5,1.5
Green Pin,G-5263,5.00,0.73,5,27,64,43,110,75,16,40,19,98,1.5,1.5
Green Pin,G-5263,7,1.19,5,31,76,51,129,89,19,46,22,115,1.5,1.5
Green Pin,G-5263,9.5,1.73,5,36,83,58,144,102,22,52,25,130,1.5,1.5
Green Pin,G-5263,12.5,2.56,5,43,95,68,164,118,25,59,28,150,1.5,1.5
Green Pin,G-5263,15,3.6,5,47,108,75,186,131,28,67,32,166,1.5,1.5
Green Pin,G-5263,18,4.95,5,51,115,83,201,147,32,73,35,184,1.5,1.5
Green Pin,G-5263,21,6.62,5,57,133,92,227,162,35,79,38,197,1.5,1.5
Green Pin,G-5263,30,8.11,5,60,146,99,249,175,38,88,42,202,1.5,1.5
Green Pin,G-5263,40,14.8,5,74,178,126,300,216,45,104,50,243,1.5,1.5
Green Pin,G-5263,55,23.3,5,83,197,138,342,252,57,119,57,283,1.5,1.5
Green Pin,G-5263,85,45.1,5,105,260,180,438,320,70,145,70,339,1.5,1.5
Green Pin,G-5263,120,72,5,127,329,190,537,356,83,164,83,397,1.5,1.5
Green Pin,G-5263,150,116,5,147,400,238,644,428,95,204,95,453,1.5,1.5
Green Pin,G-5263,175,156,5,169,410,275,686,485,105,235,108,496,1.5,1.5
