WEIGHT,MIN WIRE ROPE DIAMETER,MAX WIRE ROPE DIAMETER,WIDTH GROOVE,WIDTH OVERALL,LENGTH,LENGTH INSIDE,WIDTH INSIDE,THICKNESS BACK,WIDTH
2.95,6,7,7.1,11.2,55.5,41.4,22.4,1.5,38.1
5.35,8,8,8.65,14,63.5,47.8,26.9,2.05,46
9.8,9,10,10.4,16.8,73,54,28.7,2.8,54
15.7,11,12,11.9,18.8,82.5,60.5,31.8,3.3,60.5
23.1,13,15,13.5,23.4,92,70,38.1,3.55,70
34.3,16,16,16.8,26.2,108,82.5,44.5,4.05,79.5
72,18,20,19.8,33,127,95.5,51,5.6,96.5
81,22,22,23.9,37.3,140,108,57,5.6,108
142,24,26,26.9,44.5,156,114,63.5,6.35,125
181,28,32,33.3,47.8,178,130,73,6.35,149
402,32,35,36.6,57.2,230,165,89,9.65,173
587,35,38,39.6,66.5,229,159,89,12.7,181
771,40,40,43.7,76.2,286,203,102,12.7,207
805,44,44,46.7,77.7,310,229,114,12.7,216
1259,48,52,53,85.9,384,305,152,12.7,264
1792,56,56,60.5,98.6,435,356,178,16,302
