SLING TYPE,CONSTRUCTION TYPE,MATERIAL,NOMINAL DIAMETER,TENSILE STRENGTH,MINIMUM BREAKING LOAD
Wire Rope,6x36 IWRC,Steel,8,1770,4.11
Wire Rope,6x36 IWRC,Steel,9,1770,5.21
Wire Rope,6x36 IWRC,Steel,10,1770,6.43
Wire Rope,6x36 IWRC,Steel,11,1770,7.78
Wire Rope,6x36 IWRC,Steel,12,1770,9.26
Wire Rope,6x36 IWRC,Steel,13,1770,10.86
Wire Rope,6x36 IWRC,Steel,14,1770,12.6
Wire Rope,6x36 IWRC,Steel,16,1770,16.45
Wire Rope,6x36 IWRC,Steel,18,1770,20.82
Wire Rope,6x36 IWRC,Steel,19,1770,23.2
Wire Rope,6x36 IWRC,Steel,20,1770,25.71
Wire Rope,6x36 IWRC,Steel,22,1770,31.11
Wire Rope,6x36 IWRC,Steel,24,1770,37.02
Wire Rope,6x36 IWRC,Steel,26,1770,43.45
Wire Rope,6x36 IWRC,Steel,28,1770,50.39
Wire Rope,6x36 IWRC,Steel,30,1770,57.85
Wire Rope,6x36 IWRC,Steel,32,1770,65.81
Wire Rope,6x36 IWRC,Steel,34,1770,74.3
Wire Rope,6x36 IWRC,Steel,36,1770,83.3
Wire Rope,6x36 IWRC,Steel,38,1770,92.81
Wire Rope,6x36 IWRC,Steel,40,1770,102.84
Wire Rope,6x36 IWRC,Steel,42,1770,113.38
Wire Rope,6x36 IWRC,Steel,44,1770,124.43
Wire Rope,6x36 IWRC,Steel,8,1960,4.56
Wire Rope,6x36 IWRC,Steel,9,1960,5.76
Wire Rope,6x36 IWRC,Steel,10,1960,7.12
Wire Rope,6x36 IWRC,Steel,11,1960,8.61
Wire Rope,6x36 IWRC,Steel,12,1960,10.25
Wire Rope,6x36 IWRC,Steel,13,1960,12.03
Wire Rope,6x36 IWRC,Steel,14,1960,13.95
Wire Rope,6x36 IWRC,Steel,16,1960,18.22
Wire Rope,6x36 IWRC,Steel,18,1960,23.06
Wire Rope,6x36 IWRC,Steel,19,1960,25.69
Wire Rope,6x36 IWRC,Steel,20,1960,28.47
Wire Rope,6x36 IWRC,Steel,22,1960,34.45
Wire Rope,6x36 IWRC,Steel,24,1960,40.99
Wire Rope,6x36 IWRC,Steel,26,1960,48.11
Wire Rope,6x36 IWRC,Steel,28,1960,55.8
Wire Rope,6x36 IWRC,Steel,30,1960,64.05
Wire Rope,6x36 IWRC,Steel,32,1960,72.88
Wire Rope,6x36 IWRC,Steel,34,1960,82.27
Wire Rope,6x36 IWRC,Steel,36,1960,92.24
Wire Rope,6x36 IWRC,Steel,38,1960,102.77
Wire Rope,6x36 IWRC,Steel,40,1960,113.87
Wire Rope,6x36 IWRC,Steel,42,1960,125.55
Wire Rope,6x36 IWRC,Steel,44,1960,137.79
